SessionNumber,PresentationNumber,SessionTitle,PresentationTitle,FirstName,FullName,Location,PersonifyID,Role,DateStart,StartTime,EndTime,TimeZone,Channel,SessionFormat,SessionDescription,Filter-Date,Filter-Format,Filter-SessionPathway,Filter-AbstractPathway,CME,CNE,COP,MOCABIM,ECME,MOCABP,CPE,CNErx,AAPA,IPCE,Linkstovideoplayer,PresentationAttachmentULR,PresentationAttachmentName,Featured
102,102_02,"Dyslipidemia: Today and Tomorrow Symposia  Sponsored by Sanofi    ","Managing Patients With Dyslipidemia: Role of PCSK9 Inhibitors in Optimizing Patient Care ","Terrance ",Chua (Singapore),,,,7/9/2021,6:15 PM,7:00 PM,SGT,1,Industry Sessions,Chair: Rohit Khurana (Singapore),"July 9 ",Industry Sessions,,,,true,true,,,,,,,,,,,
102,102_03,"Dyslipidemia: Today and Tomorrow Symposia  Sponsored by Sanofi    ","Panel Discussion ",,,,,,7/9/2021,6:15 PM,7:00 PM,SGT,1,Industry Sessions,Chair: Rohit Khurana (Singapore),"July 9 ",Industry Sessions,,,,true,true,,,,,,,,,,,
102,102_04,"Dyslipidemia: Today and Tomorrow Symposia  Sponsored by Sanofi    ",Closing Remarks,Rohit,"Khurana (Singapore)   ",,,,7/9/2021,6:15 PM,7:00 PM,SGT,1,Industry Sessions,Chair: Rohit Khurana (Singapore),"July 9 ",Industry Sessions,,,,true,true,,,,,,,,,,,
103,"103_01 ",Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,Welcome & Introduction,Aaron,Wong (Singapore),,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,,true,,,,,,,,,,,
103,103_02,Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,"How Contemporary Cardiovascular Solution Can Improve Patient Outcomes in Daily Catheterization Practices ",Sayan,Sen (United Kingdom),,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,,true,,,,,,,,,,,
103,103_03,Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,Introduction,"David ",Foo (Singapore),,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,,true,,,,,,,,,,,
103,103_04,Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,Evolution of Technology in Pacemakers,Toon Wei,Lim (Singapore),,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,true,true,,,,,,,,,,,
103,103_05,Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,Panel Discussion,,,,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,true,true,,,,,,,,,,,
103,103_06,Advances in Coronary Imaging and Pacing Therapeutics ymposia Sponsored by Philips & Medtronic,Closing Remarks,,,,,,7/9/2021,6:15 PM,7:00 PM,SGT,2,Industry Sessions,Chairs: David Foo (Singapore) and Aaron Wong (Singapore),"July 9 ",Industry Sessions,,,true,true,true,,,,,,,,,,,
104,104_01,SCS Lifetime Achievement Award,Introduction,Hean Yee,Ong (Singapore),,,,7/9/2021,7:05 PM,7:25 PM,SGT,1,Education Sessions,Recipient: Arthur Tan (Singapore) itation: Terrance Chua (Singapore),"July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
104,104_02,SCS Lifetime Achievement Award,Citation,"Terrance ",Chua (Singapore),,,,7/9/2021,7:05 PM,7:25 PM,SGT,1,Education Sessions,Recipient: Arthur Tan (Singapore) itation: Terrance Chua (Singapore),"July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
104,104_03,SCS Lifetime Achievement Award,Thank You Message,Arthur,Tan (Singapore),,,,7/9/2021,7:05 PM,7:25 PM,SGT,1,Education Sessions,Recipient: Arthur Tan (Singapore) itation: Terrance Chua (Singapore),"July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
104,104_04,SCS Lifetime Achievement Award,Message From President of SCS,Hean Yee,Ong (Singapore),,,,7/9/2021,7:05 PM,7:25 PM,SGT,1,Education Sessions,Recipient: Arthur Tan (Singapore) itation: Terrance Chua (Singapore),"July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,"105_01 ",FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 1: NHG,Xuyan,Teoh (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_02,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 1: NHG,Anshing,Ang (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_03,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 1: NHG,Jiamin,Chua (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_04,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 2: NUHS,"Andie ",Hartanto Djohan (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_05,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 2: NUHS,Alfred,Yip (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_06,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 2: NUHS,Nicholas,Chew (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_07,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 3: SingHealth,Kamalesh,Anbalakan (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_08,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 3: SingHealth,Xiayan,Shen (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
105,105_09,FIT Jeopardy: The Classic Game Show With a FIT Twist!  ponsored by Servier,Team 3: SingHealth,"Xucong ",Ruan (Singapore),,,,7/9/2021,7:25 PM,9:05 PM,SGT,1,Education Sessions,"Emcee: Pinakin Vijaykumar Parekh (Singapore) udges: Jeffrey Lau (Singapore), Wee Tiong Yeo (Singapore), Min Sen Yew (Singapore) ommittee: Jieli Tong (Chair, Singapore), Iswaree Balakrishnan (Singapore), Ching Hui Sia (Singapore), Cliff Li (Singapore)","July 9 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
201,201_01,Welcome and Opening Plenary ubclinical Cardiovascular and Cerebrovascular Disease: An Imaging Challenge of the Decade,Subclinical Cardiovascular and Cerebrovascular Disease: An Imaging Challenge of the Decade,Valentin,"Fuster (USA) ",,,,7/10/2021,7:30 AM,8:30 AM,SGT,1,Education Sessions,"Chairs: Fred Kusumoto (USA), Kian Keong Poh (Singapore), Hean Yee Ong (Singapore), and Dipti Itchhaporia (USA) Virtual Moderator: Tee Joo Yeo (Singapore)","July 10 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
201,201_02,Welcome and Opening Plenary ubclinical Cardiovascular and Cerebrovascular Disease: An Imaging Challenge of the Decade,Discussion,,,,,,7/10/2021,7:30 AM,8:30 AM,SGT,1,Education Sessions,"Chairs: Fred Kusumoto (USA), Kian Keong Poh (Singapore), Hean Yee Ong (Singapore), and Dipti Itchhaporia (USA) Virtual Moderator: Tee Joo Yeo (Singapore)","July 10 ",Education Sessions,Plenary,,true,true,true,,,,,,,,,,,
202,202_01,Atrial Fibrillation and Heart Failure: A Two-Faced Coin!,Atrial Fibrillation and Heart Failure: A Two-Faced Coin!,"Sanjeev ","Saksena (USA) ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,1,Education Sessions,"Chairs: Fred Kusumoto (USA) and Toon Wei Lim (Singapore) Virtual Moderator: Colin Yeo (Singapore) Panelists: Pow-Li Chia (Singapore), Chang-Sheng Ma (China), and Wee Siong Teo (Singapore)","July 10 ",Education Sessions,Arrhythmias and Clinical EP,,true,true,true,,,,,,,,,,,
202,"202_02 ",Atrial Fibrillation and Heart Failure: A Two-Faced Coin!,"Discussion ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,1,Education Sessions,"Chairs: Fred Kusumoto (USA) and Toon Wei Lim (Singapore) Virtual Moderator: Colin Yeo (Singapore) Panelists: Pow-Li Chia (Singapore), Chang-Sheng Ma (China), and Wee Siong Teo (Singapore)","July 10 ",Education Sessions,Arrhythmias and Clinical EP,,true,true,true,,,,,,,,,,,
203,"203_01 ",Upstream and Downstream Management in Patients With CAD,"My Calcium Score Is 100 and I Have No Symptoms, Doctor, What Should I Do? ","Pamela ","Morris (USA) ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,2,Education Sessions,"Chairs: Huay Cheem Tan (Singapore) and Isman Firdaus (Indonesia) Virtual Moderator: Joshua Loh (Singapore) Panelists: Afzalur Rahman (Bangladesh), Poay Huan Loh (Singapore), and Swee Yaw Tan (Singapore)","July 10 ",Education Sessions,Coronary Artery Disease,,true,true,true,,,,,,,,,,,
203,203_02,Upstream and Downstream Management in Patients With CAD,Debate: Elective PCI Is Obsolete in a Post ISCHEMIA/ORBITA World,Aaron,"Kugelmass (USA) ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,2,Education Sessions,"Chairs: Huay Cheem Tan (Singapore) and Isman Firdaus (Indonesia) Virtual Moderator: Joshua Loh (Singapore) Panelists: Afzalur Rahman (Bangladesh), Poay Huan Loh (Singapore), and Swee Yaw Tan (Singapore)","July 10 ",Education Sessions,Coronary Artery Disease,,true,true,true,,,,,,,,,,,
203,203_03,Upstream and Downstream Management in Patients With CAD,Debate: Elective PCI Has an Important Role in a Post ISCHEMIA/ORBITA World,Yuk-Kong,"Lau (Hong Kong) ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,2,Education Sessions,"Chairs: Huay Cheem Tan (Singapore) and Isman Firdaus (Indonesia) Virtual Moderator: Joshua Loh (Singapore) Panelists: Afzalur Rahman (Bangladesh), Poay Huan Loh (Singapore), and Swee Yaw Tan (Singapore)","July 10 ",Education Sessions,Coronary Artery Disease,,true,true,true,,,,,,,,,,,
203,203_04,Upstream and Downstream Management in Patients With CAD,"Panel Disucssion ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,2,Education Sessions,"Chairs: Huay Cheem Tan (Singapore) and Isman Firdaus (Indonesia) Virtual Moderator: Joshua Loh (Singapore) Panelists: Afzalur Rahman (Bangladesh), Poay Huan Loh (Singapore), and Swee Yaw Tan (Singapore)","July 10 ",Education Sessions,Coronary Artery Disease,,true,true,true,,,,,,,,,,,
204,"204_01 ","New Tests, New Drugs, and New Devices: Are We Ready For the Future?",Digital Technologies: Ready For Prime Time?,"John ","Rumsfeld (USA) ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,3,Education Sessions,Chairs: Paul Mather (USA) and Edgar Tay (Singapore) Virtual Moderator: Julian Loh (Singapore),"July 10 ",Education Sessions,Heart Failure,,true,true,true,,,,,,,,,,,
204,204_02,"New Tests, New Drugs, and New Devices: Are We Ready For the Future?",Which Drugs and When?,Nasrien,Ibrahim (USA),,,,7/10/2021,8:35 AM,9:20 AM,SGT,3,Education Sessions,Chairs: Paul Mather (USA) and Edgar Tay (Singapore) Virtual Moderator: Julian Loh (Singapore),"July 10 ",Education Sessions,Heart Failure,,true,true,true,,,,,,,,,,,
204,204_03,"New Tests, New Drugs, and New Devices: Are We Ready For the Future?",New Implantable Devices: What Should Be Used Today?,Jagmeet,Singh (USA),,,,7/10/2021,8:35 AM,9:20 AM,SGT,3,Education Sessions,Chairs: Paul Mather (USA) and Edgar Tay (Singapore) Virtual Moderator: Julian Loh (Singapore),"July 10 ",Education Sessions,Heart Failure,,true,true,true,,,,,,,,,,,
204,204_04,"New Tests, New Drugs, and New Devices: Are We Ready For the Future?","Panel Disucssion ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,3,Education Sessions,Chairs: Paul Mather (USA) and Edgar Tay (Singapore) Virtual Moderator: Julian Loh (Singapore),"July 10 ",Education Sessions,Heart Failure,,true,true,true,,,,,,,,,,,
205,"205_01 ",SCS YIA Abstract Presentations,"Opening Remarks ",Hean Yee,Ong (Singapore),,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_02,SCS YIA Abstract Presentations,Characteristics and Outcomes of Patients With Coronary Artery Ectasia Presenting With ST-Segment Elevation Myocardial Infarction,"Andie ","Djohan (Singapore)   ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_03,SCS YIA Abstract Presentations,"Question & Awnser ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_04,SCS YIA Abstract Presentations,Impact of Diabetic Status and Left Ventricular Ejection Fraction on Outcomes in Patients Undergoing Semi-Urgent and Elective Percutaneous Coronary Intervention,Jamie Sin Ying,"Ho (Singapore)   ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_05,SCS YIA Abstract Presentations,"Question & Awnser ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_06,SCS YIA Abstract Presentations,Clinical and Echocardiographic Differences Between Rheumatic and Degenerative Mitral Stenosis,"Ryan ","Leow (Singapore)  ",,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_07,SCS YIA Abstract Presentations,"Question & Awnser ",,,,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
205,205_08,SCS YIA Abstract Presentations,Closing Remarks,Hean Yee,Ong (Singapore),,,,7/10/2021,8:35 AM,9:20 AM,SGT,4,YIA Abstract Presentations,"Chair: Hean Yee Ong (Singapore) udges: Gilbert Vilela (Philippines), Wan Azman Wan Ahmad (Malaysia), Hean Yee Ong (Singapore), Rungroj Krittayaphong (Thailand), Hee Hwa Ho (Singapore), Ru San Tan (Singapore), Roger Foo (Singapore), and Dipti Itchhaporia (USA)","July 10 ",YIA Abstract Presentations,"Special Topics ",,true,true,true,,,,,,,,,,,
206,"206_01 ",Imaging in 2021,Imaging and COVID: Acute and Chronic Findings,Judy,"Hung (USA) ",,,,7/10/2021,9:25 AM,10:10 AM,SGT,1,Education Sessions,"Chairs: Jonathan Lindner (USA) and Kian Keong Poh (Singapore)<br> 
Virtual Moderator: Choon Pin Lim (Singapore)","July 10 ",Education Sessions,Imaging,,true,true,true,,,,,,,,,,,
206,206_02,Imaging in 2021,"Echo, CT, MRI: Which Imaging Technique in Which Patient?",Ru San,"Tan (Singapore) ",,,,7/10/2021,9:25 AM,10:10 AM,SGT,1,Education Sessions,"Chairs: Jonathan Lindner (USA) and Kian Keong Poh (Singapore)<br> 
Virtual Moderator: Choon Pin Lim (Singapore)","July 10 ",Education Sessions,Imaging,,true,true,true,,,,,,,,,,,
206,206_03,Imaging in 2021,"Best Strategies For Identifying and Risk Stratifying CAD in 2021                                                                           ","Michael ","Picard (USA) ",,,,7/10/2021,9:25 AM,10:10 AM,SGT,1,Education Sessions,"Chairs: Jonathan Lindner (USA) and Kian Keong Poh (Singapore)<br> 
Virtual Moderator: Choon Pin Lim (Singapore)","July 10 ",Education Sessions,Imaging,,true,true,true,,,,,,,,,,,
206,206_04,Imaging in 2021,"Panel Disucssion ",,,,,,7/10/2021,9:25 AM,10:10 AM,SGT,1,Education Sessions,"Chairs: Jonathan Lindner (USA) and Kian Keong Poh (Singapore)<br> 
Virtual Moderator: Choon Pin Lim (Singapore)","July 10 ",Education Sessions,Imaging,,true,true,true,,,,,,,,,,,
207,207_01,Prevention of Coronary Artery Disease: 2021 and Beyond,Prevention Strategies and Smoking,Kay Choong,See (Singapore),,,,7/10/2021,9:25 AM,10:10 AM,SGT,2,Education Sessions,Chairs: Orlando Bugarin (Philippines) and Tazeen Jafar (Singapore) Virtual Moderator: Tee Joo Yeo (Singapore) Panelists: A.K.M. Mohibullah (Bangladesh) and Gilbert Vilela (Philippines),"July 10 ",Education Sessions,Prevention,,true,true,true,,,,,,,,,,,
207,207_02,Prevention of Coronary Artery Disease: 2021 and Beyond,Best Practices For Lipid Management in 2021,Anwar," Santoso (Indonesia) ",,,,7/10/2021,9:25 AM,10:10 AM,SGT,2,Education Sessions,Chairs: Orlando Bugarin (Philippines) and Tazeen Jafar (Singapore) Virtual Moderator: Tee Joo Yeo (Singapore) Panelists: A.K.M. Mohibullah (Bangladesh) and Gilbert Vilela (Philippines),"July 10 ",Education Sessions,Prevention,,true,true,true,,,,,,,,,,,
