Facet,1,2,3,4
,,Diet and Nutrition,,
,,Primary Prevention,,
,,Secondary Prevention,,
,,Smoking Cessation,,
,,Stress Reduction,,
,,Stroke Prevention,,
,Cardiovascular Procedures,,,
,,Cardiac Surgery,,
,,,Aortic Surgery,
,,,Coronary Artery Bypass,
,,,Heart Transplantation,
,,,Myocardial Revascularization,
,,"Coronary, Peripheral and Structural Procedures",,
,,,Drug-Eluting Stents,
,,,PCI,
,,,Peripheral Intervention,
,,,Stents,
,,,Structural Intervention,
,,,,Mechanical Valve
,,,,Prosthetic Valve
,,,TAVR,
,,,Vascular Access,
,,Invasive Cardiovascular Procedures,,
,,,Ablation,
,,,Implantable Devices,
,,,,Cardiovascular Implantable Electronic Device 
,,,,Implantable Cardioverter-Defibrillator
,,,,Left Ventricular Assist Device
,,,,Mechanical Circulatory Support
,,,,Cardiac Pacing
,,,LAAO,
,,,Revascularization,
,CCBs,,,
,CPR,,,
,Critical Care,,,
,Dual Antiplatelet Therapy,,,
,GLP1-RAs,,,
,MRAs,,,
,Myosin Inhibitors,,,
,Noncardiac Surgery,,,
,Perioperative Evaluation and Care,,,
,Platelets,,,
,SGLT2 Inhibitors,,,
,Semaglutide,,,
,Targeted and Immune Cancer Therapy,,,
,Vaccines,,,
Specialties,,,,
,Academic Cardiology,,,
,Advanced Career Professionals,,,
,Adult Congenital Cardiology,,,
,Cardio-Obstetrics,,,
,Cardio-Oncology,,,
,Cardiolovascular Care Team,,,
,Critical Care Cardiology,,,
,CV Tech,,,
,Early Career Professionals,,,
,Electrophysiology,,,
,Federal Cardiology,,,
,Fellows in Training,,,
,Geriatric Cardiology,,,
,Heart Failure Cardiology,,,
,Hematology,,,
,Hospitalist,,,
,Interventional Cardiology,,,
,Medical Residents,,,
,Medical Students,,,
,Pediatric Cardiology,,,
,Pharmacist,,,
,Regenerative Medicine,,,
,Sports and Exercise Cardiology,,,
,Translational Medicine,,,
,Vascular Medicine,,,
,Women in Cardiology,,,
Nonclinical,,,,
,ACC History,,,
,Advocacy ,,,
,Artificial Intelligence,,,
,Basic Science Research,,,
,Career Development,,,
,Certification,,,
,Clinical Decision Support,,,
,Coding,,,
,Comparative Effectiveness,,,
,Compensation,,,
,Cost Effectiveness,,,
,"Diversity, Equity and Inclusion",,,
,Electronic Health Record,,,
,Emergency Department,,,
,Facility Accreditation,,,
,Gender  ,,,
,Guideline Directed Medical Therapy,,,
,Health Care Technology,,,
,Health Data Interchange Standards,,,
,Health Economics,,,
,Health Equity,,,
,Health Informatics,,,
,Implicit Bias,,,
,Innovation,,,
,International ,,,
,Leadership,,,
,Medical Ethics,,,
,Organizational Structure,,,
,Patient-Centered Care,,,
,Patient Data,,,
,Patient Education,,,
,Practice Management,,,
,Professional Accreditation ,,,
,Program Directors,,,
,Public Reporting,,,
,Quality Improvement,,,
,Quality of Life,,,
,Race and Ethnicity,,,
,Randomized Control Trial,,,
,Referral,,,
,Reimbursement,,,
,Risk Assessment,,,
,Risk Factor,,,
,Safety,,,
,Shared Decision Making,,,
,Social Determinants of Health,,,
,Team-Based Patient Care,,,
,Telehealth,,,
,Training Programs,,,
,Translational Research,,,
,Well-being,,,
,Work-Life Balance ,,,
,Workplace Violence,,,
,Quality Programs,,,
,,ACPC Quality Network,,
,,AFib Ablation Registry,,
,,CathPCI Registry,,
,,Chest Pain MI Registry,,
,,CV ASC Registry Suite,,
,,EP Device Implant Registry,,
,,IMPACT Registry,,
,,LAAO Registry,,
,,NCDR,,
,,STS/ACC TVS Registry,,
,Conferences and Meetings,,,
,,ACCXX,,
,,ACA Annual Scientific Session,,
,,AHA Annual Scientific Sessions,,
,,CV Summit,,
,,ESCXX,,
,,Legislative Conference,,
,,Quality Summit,,
,,TCTXX,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
